en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
packaged,有包裝,8,8,8,-0.0245,0.7231
unsubscribe,取消接收,6,6,6,-0.0245,0.6643
interested,有利害關係,8,8,8,-0.0244,0.5274
network,網絡營業額,8,5,5,-0.0242,0.7006
sampling,取樣點,8,2,2,-0.0242,0.3879
reduction of capital,股本減少,3,8,3,-0.0241,0.6955
gaoler,監獄看守員,4,4,4,-0.0241,0.6476
acknowledgment,確認,8,8,8,-0.024,0.5476
resist,抗辯,8,8,8,-0.024,0.6215
probability,可能性,8,8,8,-0.0239,0.6136
customs,《暫准進口海關公約》,8,3,3,-0.0239,0.634
Title Register,業權註冊紀錄,8,8,8,-0.0239,0.7637
rescheduled,經重組貸款及放款,4,2,2,-0.0239,0.5265
direct marketing,直接促銷,8,8,8,-0.0237,0.8204
harvest,地址收集,3,3,3,-0.0237,0.5534
pirate,海盜,4,8,4,-0.0237,0.7282
Stock Connect,互聯互通安排,4,2,2,-0.0237,0.6593
fidelity,盡職誓言,5,2,2,-0.0236,0.7188
leasing,租賃式融通,8,4,4,-0.0236,0.6641
reconveyance,再轉易,4,6,4,-0.0236,0.71
installation,電訊裝置,8,8,8,-0.0235,0.67
International Organization of Securities Commissions,證券委員會國際組織,2,2,2,-0.0235,0.5854
sharable,可互通資料,4,4,4,-0.0234,0.6904
duly,妥當地,8,8,8,-0.0233,0.7105
emission,放射,8,8,8,-0.0233,0.6502
unperformed,未獲履行,8,8,8,-0.0233,0.6088
Government Laboratory,政府化驗所,5,5,5,-0.0231,0.701
cash,現金,8,8,8,-0.0231,0.7086
pupillage,認可實習大律師實習,8,8,8,-0.0231,0.6286
commissioner,監誓員,8,8,8,-0.0231,0.6521
hinder,妨礙,8,8,8,-0.0231,0.67
Geneva Convention,日內瓦公約,2,3,2,-0.023,0.6892
special,特別,8,8,8,-0.023,0.7147
average,平均率,8,3,3,-0.023,0.5179
detection,發現,8,8,8,-0.023,0.6349
STCW Code,培訓規則,8,8,8,-0.023,0.6939
nursery,幼兒教育,8,6,6,-0.023,0.7824
off duty,休班,6,4,4,-0.0229,0.7486
Hong Kong Laboratory Accreditation Scheme,香港實驗所認可計劃,4,8,4,-0.0228,0.7224
obligor,義務人,8,8,8,-0.0228,0.5607
lading,提單,8,8,8,-0.0227,0.6691
ticket,彩票,8,8,8,-0.0227,0.6387
linked,相連長期業務,8,2,2,-0.0226,0.576
brief,委聘,8,8,8,-0.0225,0.5553
derivative,衍生,8,8,8,-0.0225,0.7631
underwriting,包銷協議,8,8,8,-0.0225,0.626
soliciting,兜客,8,4,4,-0.0224,0.6512
re-issue,再發出,8,6,6,-0.0223,0.633
sub-custodian,次保管人,5,6,5,-0.0223,0.5519
destroyed,遺失、遭污損或遭損毀,8,8,8,-0.0222,0.6292
draw down,提取,2,8,2,-0.0221,0.4333
surrender,交出,8,8,8,-0.0221,0.5074
number,地段編號,8,8,8,-0.0221,0.6082
